redmine_milestone, github_milestone_name, due_date_yyyy_mm_dd
2.70rc1, 2.70rc1, 2012-1109
2.71rc1, 2.71rc1, 2013-0225
2.71rc2, 2.71rc2, 2013-0918
2.71rc3, 2.71rc3, 2013-1019
2.71rc4, 2.71rc4, 2014-0709
2.71, 2.71, 2014-1221
2.72, 2.72, 2015-0107
2.73, 2.73, 2015-0802
2.74, 2.74, 2015-0821
2.75, 2.75, 2016-0911
2.76, 2.76, 2019-0105
2.77, 2.77, None
2.78, Future, None
ALL, ALL, None
N/A, N/A, None
